case_id,sample_type,over_18,consent_q,us_voter,age,gender,education,income,sexuality,religion,jewish_id,anes_party_id,pid_leaners,anes_ideology,2024_recalled_vote,need_for_cognition_1,need_for_cognition_2,trump_approval,generic_ballot,issue_rank_maxdiff,fighting_for_dem,fighting_for_gop,br_change,change_party,future_optimism,attention_check,2028_dem_primary,d_electable_maxdiff,d_base_vs_swing,2028_gop_primary,2028_gop_primary_djt,r_electable_maxdiff,r_base_vs_swing,hersh_battery_1,hersh_battery_2,hersh_battery_3,as_scenarios_1,as_scenarios_2,as_scenarios_3,as_scenarios_4,as_scenarios_5,as_scenarios_6,as_scenarios_7,as_scenarios_8,as_scenarios_9,as_scenarios_10,as_scenarios_11,as_scenarios_12,zionism_def_8,role_of_jews,jews_left_right,israel_exist,israel_military_aid,obbba_open,obbba_benefits,obbba_effects_gen_1,obbba_effects_gen_2,obbba_effects_gen_3,obbba_effects_gen_4,obbba_effects_gen_5,obbba_effects_pers,obbba_maxdiff_1,obbba_maxdiff_2,obbba_maxdiff_3,obbba_maxdiff_4,close_friends,opposite_sex_friends,body_count,leah_battery_1,leah_battery_2,leah_battery_3,leah_battery_4,milestones,trad_battery_1,trad_battery_2,trad_battery_3,trad_battery_4,trad_battery_5,manosphere_battery_1,manosphere_battery_2,manosphere_battery_3,manosphere_battery_4,manosphere_battery_5,manosphere_battery_6,gender_wars_1,gender_wars_2,gender_wars_3,gender_wars_4,gender_wars_5,a_as_whodefinessplit_do_who_defines_a,a_as_whodefinessplit_do_who_defines_b,a_as_whodefinessplit_do_who_defines_c,ces_race,age_actualnumber,weight,who_defines_a_1,who_defines_a_2,who_defines_a_3,who_defines_a_4,who_defines_a_5,who_defines_a_6,who_defines_a_7,who_defines_b_1,who_defines_b_2,who_defines_b_3,who_defines_b_4,who_defines_b_5,who_defines_b_6,who_defines_b_7,who_defines_c_1,who_defines_c_2,who_defines_c_3,who_defines_c_4,who_defines_c_5,who_defines_c_6,who_defines_c_7,zionism_def_1,zionism_def_2,zionism_def_3,zionism_def_4,zionism_def_5,zionism_def_6,zionism_def_7,over_18_label,consent_q_label,us_voter_label,gender_label,education_label,income_label,sexuality_label,religion_label,jewish_id_label,anes_party_id_label,pid_leaners_label,anes_ideology_label,2024_recalled_vote_label,need_for_cognition_1_label,need_for_cognition_2_label,trump_approval_label,generic_ballot_label,issue_rank_maxdiff_label,br_change_label,change_party_label,future_optimism_label,attention_check_label,2028_dem_primary_label,d_electable_maxdiff_label,d_base_vs_swing_label,2028_gop_primary_label,2028_gop_primary_djt_label,r_electable_maxdiff_label,r_base_vs_swing_label,hersh_battery_1_label,hersh_battery_2_label,hersh_battery_3_label,as_scenarios_1_label,as_scenarios_2_label,as_scenarios_3_label,as_scenarios_4_label,as_scenarios_5_label,as_scenarios_6_label,as_scenarios_7_label,as_scenarios_8_label,as_scenarios_9_label,as_scenarios_10_label,as_scenarios_11_label,as_scenarios_12_label,zionism_def_8_label,role_of_jews_label,jews_left_right_label,israel_exist_label,israel_military_aid_label,obbba_benefits_label,obbba_effects_gen_1_label,obbba_effects_gen_2_label,obbba_effects_gen_3_label,obbba_effects_gen_4_label,obbba_effects_gen_5_label,obbba_effects_pers_label,obbba_maxdiff_1_label,obbba_maxdiff_2_label,obbba_maxdiff_3_label,obbba_maxdiff_4_label,leah_battery_1_label,leah_battery_2_label,leah_battery_3_label,leah_battery_4_label,milestones_label,trad_battery_1_label,trad_battery_2_label,trad_battery_3_label,trad_battery_4_label,trad_battery_5_label,manosphere_battery_1_label,manosphere_battery_2_label,manosphere_battery_3_label,manosphere_battery_4_label,manosphere_battery_5_label,manosphere_battery_6_label,gender_wars_1_label,gender_wars_2_label,gender_wars_3_label,gender_wars_4_label,gender_wars_5_label,who_defines_a_1_label,who_defines_a_2_label,who_defines_a_3_label,who_defines_a_4_label,who_defines_a_5_label,who_defines_a_6_label,who_defines_a_7_label,who_defines_b_1_label,who_defines_b_2_label,who_defines_b_3_label,who_defines_b_4_label,who_defines_b_5_label,who_defines_b_6_label,who_defines_b_7_label,who_defines_c_1_label,who_defines_c_2_label,who_defines_c_3_label,who_defines_c_4_label,who_defines_c_5_label,who_defines_c_6_label,who_defines_c_7_label,zionism_def_1_label,zionism_def_2_label,zionism_def_3_label,zionism_def_4_label,zionism_def_5_label,zionism_def_6_label,zionism_def_7_label,age_bin,race,binary_race,age_gender,binary_race_gender,binary_race_education,weight_national,weight_youth
R_3MiFgpugAM36pHQ,US registered voter,1,1,1,4.0,Female,No College,2.0,1.0,1,,3,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,"Poor people, gay people, immigrants, pretty much anyone that is not rich",The rich and powerful,3.0,4.0,3.0,1,,,,,,,,2.0,4.0,5.0,,,3.0,,,,,3.0,3.0,3.0,,,1.0,3.0,3.0,4.0,3,Trump,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,15.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,,,1.0,2,36.0,1.200788065134546,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Associates or technical degree,"At least $25,000 but under $50,000",Straight (heterosexual),Protestant,,Independent,Neither,Moderate; middle of the road,Did not vote,Disagree,Disagree,Strongly disapprove,The Democrat,Healthcare,Things in America are going poorly and what is needed is a major change and a shock to the system,Neither party,Not very optimistic,Healthcare,,,,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,,,Not sure,,,,,Not sure,Not sure,Not sure,,,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Jews have not pushed American politics to either side.,Not sure,Decreasing military aid to Israel,"The wealthy (people making more than $200,000)",Agree,Agree,Not sure,Agree,Agree,Will have no effect on my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},No,Yes,Yes,Yes,I have average experience relative to my peers,The man,Doesn't matter/both equally,Doesn't matter/both equally,The woman,The man,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Both equally,Young women,Young women,Both equally,Both equally,,,,,,,,,,,,,,,Leaders in the Black community,Academic experts on anti-Black racism,,,,The Black community as a whole,,,,,,,,,35-44,Black,Non-white,35-44_Female,Non-white_Female,Non-white_No College,1.753329898452811,
R_5dzq780GHmQDH6I,18-34 RV oversample,1,1,1,2.0,Female,No College,4.0,1.0,10,2.0,3,2.0,5.0,2.0,2.0,5.0,4.0,2.0,17.0,They are fighting for their members and for poor people,They are fighting for themselves and for blue collar workers,2.0,1.0,3.0,1,,,,12.0,13.0,2.0,2.0,2.0,5.0,3.0,,1.0,,,,,1.0,,,,2.0,3.0,0.0,3.0,2.0,2.0,4,trying to change too many things at once,8.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,1,27.0,0.2876500193040423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Associates or technical degree,"At least $100,000 but under $200,000",Straight (heterosexual),Agnostic,No,Independent,The Republican Party,Slightly conservative,Donald Trump,Agree,Strongly disagree,Strongly disapprove,The Republican,Election integrity,Things could be going better in America and what is needed is a return to basic stability,The Democratic Party,Not very optimistic,Healthcare,,,,Tulsi Gabbard,Tulsi Gabbard,Ron DeSantis,Republicans need to focus on moderating in order to appeal to the swing voters and independents who decide elections,Somewhat agree,Strongly disagree,Neither agree nor disagree,,It is a form of anti-Jewish prejudice,,,,,It is a form of anti-Jewish prejudice,,,,It is NOT a form of anti-Jewish prejudice,Not sure,,No impact or neutral impact,Jews have pushed American politics to the left.,"Israel should exist, but not as a Jewish state",Stopping all military aid to Israel,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Democrats say: ${e://Field/d_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Yes,Yes,Yes,Yes,I have less experience than my peers,The man,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,The man,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Young men,Young men,Both equally,Young men,Young men,,,American society as a whole,,,,,,,,,,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,,"The belief that, if the other peoples of the world have a right to statehood, then the Jewish people have the same right",,,,,23-29,White,White,23-29_Female,White_Female,White_No College,0.6124648524786536,1.8569402161098985
R_7EXVJuqoVupKDHX,US registered voter,1,1,1,4.0,Female,No College,1.0,3.0,4,,2,,4.0,4.0,3.0,3.0,4.0,1.0,30.0,Im not sure,Greed,2.0,1.0,2.0,1,3.0,4.0,2.0,,,,,3.0,3.0,3.0,2.0,,,,2.0,,,,2.0,,2.0,,0.0,4.0,4.0,4.0,5,Not good,5.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,60.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,,1.0,,5,37.0,8.899946945469251,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Some high school or less,"Under $25,000",Bisexual,"Orthodox, such as Greek or Russian Orthodox",,Democrat,,Moderate; middle of the road,Did not vote,Neither agree nor disagree,Neither agree nor disagree,Strongly disapprove,The Democrat,Housing,Things could be going better in America and what is needed is a return to basic stability,The Democratic Party,Somewhat optimistic,Healthcare,Kamala Harris,Wes Moore,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,It is NOT a form of anti-Jewish prejudice,,,,It is NOT a form of anti-Jewish prejudice,,,,It is NOT a form of anti-Jewish prejudice,,It is NOT a form of anti-Jewish prejudice,,,Not sure,Not sure,Not sure,Not sure,"The wealthy (people making more than $200,000)",Disagree,Disagree,Agree,Disagree,Disagree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},No,No,Yes,No,I have average experience relative to my peers,The man,The woman,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Young women,Both equally,Young women,Both equally,Young men,,,,,,,,,,American society as a whole,,,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,,,,,,,35-44,Other,Non-white,35-44_Female,Non-white_Female,Non-white_No College,1.096917887282833,
R_6qffjyRB3swlNbW,US registered voter,1,1,1,4.0,Female,No College,1.0,1.0,12,2.0,3,3.0,6.0,2.0,2.0,5.0,1.0,2.0,29.0,I think that they are fighting for themselves and their donors.,Some are paid off and some are fighting to make America great.,2.0,2.0,1.0,1,,,,,,,,3.0,5.0,5.0,,1.0,,2.0,,2.0,,,,,,2.0,0.0,3.0,3.0,4.0,4,Restoring America to its greatness,7.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1,44.0,2.5654588602854673,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Some high school or less,"Under $25,000",Straight (heterosexual),Nothing in particular,No,Independent,Neither,Conservative,Donald Trump,Agree,Strongly disagree,Strongly approve,The Republican,Free speech,Things could be going better in America and what is needed is a return to basic stability,The Republican Party,Very optimistic,Healthcare,,,,,,,,Neither agree nor disagree,Strongly disagree,Strongly disagree,,It is a form of anti-Jewish prejudice,,It is NOT a form of anti-Jewish prejudice,,It is NOT a form of anti-Jewish prejudice,,,,,,It is NOT a form of anti-Jewish prejudice,,No impact or neutral impact,Jews have not pushed American politics to either side.,Not sure,Stopping all military aid to Israel,Groups will benefit roughly equally,Disagree,Disagree,Agree,Disagree,Disagree,Will improve my personal finances,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Yes,Yes,Yes,Yes,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,The woman,The man,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Both equally,Young men,Young men,Young men,Young men,,,American society as a whole,,,,,,,,,,,,,,,,,,,,"Support for the continued existence of Israel, in the face of calls for its destruction or dissolution",,Establishing and maintaining a Jewish demographic majority in Palestine by driving out the native Palestinian population,The creation of a nation-state where Jews get more rights than others on the land,A form of racism and apartheid against Palestinians,,35-44,White,White,35-44_Female,White_Female,White_No College,1.768033821496543,
R_5eEKpSOspTOYbXl,US registered voter,1,1,1,6.0,Female,College+,3.0,1.0,1,,2,,2.0,1.0,3.0,5.0,4.0,1.0,28.0,The people,Themselves,3.0,5.0,4.0,1,14.0,12.0,2.0,,,,,3.0,4.0,1.0,,,3.0,,,,3.0,1.0,,1.0,,,0.0,1.0,4.0,2.0,5,Discriminative,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,,1.0,,1,66.0,3.872334166236578,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc.)","At least $50,000 but under $100,000",Straight (heterosexual),Protestant,,Democrat,,Liberal,Kamala Harris,Neither agree nor disagree,Strongly disagree,Strongly disapprove,The Democrat,Democracy,Things in America are going poorly and what is needed is a major change and a shock to the system,Not sure,Not optimistic at all,Healthcare,Cory Booker,Jared Polis,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Neither agree nor disagree,Somewhat disagree,Strongly agree,,,Not sure,,,,Not sure,It is a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,,,Positive impact,Not sure,"Israel should exist, but not as a Jewish state",Not sure,Billionaires,Agree,Agree,Disagree,Agree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,No,Not sure,No,I have more experience than my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Both equally,Both equally,Young men,Young men,Both equally,,,,,,,,Leaders in the Muslim community,Academic experts on Islamophobia,,,,,,,,,,,,,,"Support for the continued existence of Israel, in the face of calls for its destruction or dissolution",,,,,,65+,White,White,65+_Female,White_Female,White_College+,1.6762989873755103,
R_72x3rwocjXOg6l5,US registered voter,1,1,1,4.0,Female,No College,2.0,1.0,12,2.0,3,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,Not Donald trump,There selfs,3.0,4.0,5.0,1,,,,,,,,3.0,3.0,3.0,3.0,,,,,,3.0,,,3.0,,2.0,1.0,3.0,4.0,4.0,4,Money,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,1.0,2,35.0,2.541353016496485,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,Some high school or less,"At least $25,000 but under $50,000",Straight (heterosexual),Nothing in particular,No,Independent,Neither,Moderate; middle of the road,Did not vote,Neither agree nor disagree,Neither agree nor disagree,Not sure or no opinion,Don't know,Taxes,Things in America are going poorly and what is needed is a major change and a shock to the system,Neither party,Not sure or no opinion,Healthcare,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Not sure,,,,,,Not sure,,,Not sure,,It is NOT a form of anti-Jewish prejudice,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Not sure,Not sure,Stopping all military aid to Israel,"The middle class (people making $50,000 to $100,000)",Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Democrats say: ${e://Field/d_msg_1},Republicans say: ${e://Field/r_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,Yes,Yes,Yes,I have average experience relative to my peers,Doesn't matter/both equally,The woman,The man,Doesn't matter/both equally,The man,Neither agree nor disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,,,,,,,,,,,,,,The Black community as a whole,,,,,,,,,35-44,Black,Non-white,35-44_Female,Non-white_Female,Non-white_No College,1.753329898452811,
R_62KPEgKEZJSxKNW,US registered voter,1,1,1,5.0,Male,College+,1.0,1.0,12,2.0,3,3.0,2.0,3.0,3.0,4.0,4.0,3.0,17.0,themselves,themselves,3.0,4.0,4.0,1,,,,,,,,3.0,3.0,3.0,,,2.0,2.0,,,,3.0,2.0,,,,0.0,4.0,4.0,3.0,4,"corruption, racism",5.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,30.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,,2,56.0,0.7562025838649171,,,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,Bachelor's degree,"Under $25,000",Straight (heterosexual),Nothing in particular,No,Independent,Neither,Liberal,Other,Neither agree nor disagree,Disagree,Strongly disapprove,Don't know,Election integrity,Things in America are going poorly and what is needed is a major change and a shock to the system,Neither party,Not optimistic at all,Healthcare,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,It is NOT a form of anti-Jewish prejudice,It is NOT a form of anti-Jewish prejudice,,,,Not sure,It is NOT a form of anti-Jewish prejudice,,,,,Not sure,Not sure,Israel should not exist,Stopping all military aid to Israel,"The wealthy (people making more than $200,000)",Agree,Agree,Disagree,Not sure,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},No,No,No,No,I have average experience relative to my peers,The man,The woman,The man,The woman,The man,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,,Leaders in the Muslim community,Academic experts on Islamophobia,,,,The Muslim community as a whole,,,,,,,,,,,,Establishing and maintaining a Jewish demographic majority in Palestine by driving out the native Palestinian population,The creation of a nation-state where Jews get more rights than others on the land,A form of racism and apartheid against Palestinians,,45-64,Black,Non-white,45-64_Male,Non-white_Male,Non-white_College+,1.481441247277022,
R_5hZ701fbURuscWw,US registered voter,1,1,1,4.0,Male,No College,3.0,5.0,11,2.0,1,,5.0,2.0,4.0,5.0,1.0,2.0,14.0,They are not for African American,There are for African Americans,3.0,4.0,4.0,1,,,,19.0,22.0,3.0,1.0,3.0,2.0,1.0,,3.0,3.0,,1.0,,,,,,,3.0,1.0,3.0,4.0,4.0,5,I don't know,8.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,,,2,37.0,1.441682581237051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,"Some college, but no degree","At least $50,000 but under $100,000",Other,Something else,No,Republican,,Slightly conservative,Donald Trump,Disagree,Strongly disagree,Strongly approve,The Republican,Diplomatic relations,Things in America are going poorly and what is needed is a major change and a shock to the system,Neither party,Not optimistic at all,Healthcare,,,,Donald Trump Jr.,Other,Brian Kemp,"Republicans need to focus on energizing and turning out the base, by running on conservative, America-first policies that give their voters something to vote for",Neither agree nor disagree,Somewhat agree,Strongly agree,,Not sure,Not sure,,It is a form of anti-Jewish prejudice,,,,,,,Not sure,"I'm not familiar with the term ""Zionism""",No impact or neutral impact,Not sure,Not sure,Not sure,Not sure,Agree,Agree,Agree,Agree,Agree,Not sure,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Not sure,Yes,Not sure,Not sure,I have less experience than my peers,Not sure,Doesn't matter/both equally,Not sure,Doesn't matter/both equally,Not sure,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Both equally,Both equally,Not sure,Young men,Young men,,,,,,,None of the above,,,,,,,,,,,,,,,,,,,,,,35-44,Black,Non-white,35-44_Male,Non-white_Male,Non-white_No College,2.7262926529508325,
R_5zBjaV5BFkc02Kg,US registered voter,1,1,1,5.0,Female,No College,3.0,1.0,11,2.0,2,,4.0,1.0,2.0,4.0,4.0,1.0,8.0,Freedom and rights,Exclusion,3.0,3.0,3.0,1,5.0,14.0,2.0,,,,,2.0,3.0,3.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,4.0,4.0,4.0,2,Bad things,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,6.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,,1.0,,2,55.0,2.0236620230354507,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Woman,"Some college, but no degree","At least $50,000 but under $100,000",Straight (heterosexual),Something else,No,Democrat,,Moderate; middle of the road,Kamala Harris,Agree,Disagree,Strongly disapprove,The Democrat,Medicaid and Medicare,Things in America are going poorly and what is needed is a major change and a shock to the system,Both parties equally,Not very optimistic,Healthcare,Gavin Newsom,Cory Booker,Democrats need to focus on moderating their policies and ideology in order to appeal to a wider range of voters.,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,It is a form of anti-Jewish prejudice,,,It is a form of anti-Jewish prejudice,It is a form of anti-Jewish prejudice,,,,,It is a form of anti-Jewish prejudice,,"I'm not familiar with the term ""Zionism""",Not sure,Not sure,Not sure,Maintaining the same amount of military aid to Israel,"The wealthy (people making more than $200,000)",Agree,Agree,Disagree,Agree,Agree,Will hurt my personal finances,Democrats say: ${e://Field/d_msg_1},Democrats say: ${e://Field/d_msg_2},Democrats say: ${e://Field/d_msg_3},Democrats say: ${e://Field/d_msg_4},Yes,No,Yes,Not sure,I have average experience relative to my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,The man,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,,Leaders in the Muslim community,,,,,,,,,,,,,,,,,,,,,45-64,Black,Non-white,45-64_Female,Non-white_Female,Non-white_No College,1.734124522550334,
R_5ea057D9IQXIds8,US registered voter,1,1,1,6.0,Male,No College,2.0,1.0,1,,1,,7.0,2.0,3.0,4.0,1.0,2.0,27.0,Illegals,U S citizens,1.0,1.0,2.0,1,,,,1.0,1.0,10.0,1.0,3.0,5.0,3.0,,,,1.0,,1.0,,1.0,,1.0,,,0.0,1.0,1.0,1.0,2,Donald Trump,7.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,10.0,5.0,75.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,,1.0,,1,70.0,3.168583041800923,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,"Yes, I am registered to vote",Man,Associates or technical degree,"At least $25,000 but under $50,000",Straight (heterosexual),Protestant,,Republican,,Extremely conservative,Donald Trump,Neither agree nor disagree,Disagree,Strongly approve,The Republican,Guns,Things are going well in America and no real changes are needed,The Democratic Party,Somewhat optimistic,Healthcare,,,,JD Vance,Donald J. Trump,Josh Hawley,"Republicans need to focus on energizing and turning out the base, by running on conservative, America-first policies that give their voters something to vote for",Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,,,,It is a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,It is a form of anti-Jewish prejudice,,,,Positive impact,Jews have pushed American politics to the right.,Israel should exist as a Jewish state,Maintaining the same amount of military aid to Israel,Groups will benefit roughly equally,Disagree,Disagree,Agree,Disagree,Disagree,Will have no effect on my personal finances,Republicans say: ${e://Field/r_msg_1},Republicans say: ${e://Field/r_msg_2},Republicans say: ${e://Field/r_msg_3},Republicans say: ${e://Field/r_msg_4},Yes,Yes,Yes,Yes,I have more experience than my peers,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Doesn't matter/both equally,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Both equally,Both equally,Both equally,Both equally,Both equally,,,,,,,,,,American society as a whole,,,,,,,,,,,,A movement for self-determination and statehood for the Jewish people in their ancestral homeland,"Support for the continued existence of Israel, in the face of calls for its destruction or dissolution","The belief that, if the other peoples of the world have a right to statehood, then the Jewish people have the same right",,,,,65+,White,White,65+_Male,White_Male,White_No College,2.023223697145091,
